,hero0,ab00,ab01,ab02,ab03,hero1,ab10,ab11,ab12,ab13,hero2,ab20,ab21,ab22,ab23,hero3,ab30,ab31,ab32,ab33,hero4,ab40,ab41,ab42,ab43,hero5,ab50,ab51,ab52,ab53,hero6,ab60,ab61,ab62,ab63,hero7,ab70,ab71,ab72,ab73,hero8,ab80,ab81,ab82,ab83,hero9,ab90,ab91,ab92,ab93,radiant_win,has_abandon,match_seq_num,match_id,start_time,duration,lobby_type,bugged
0,69,7000,5122,5052,5342,48,5224,5176,5357,5223,53,5248,5297,6341,5119,29,5340,8340,5174,5263,119,5266,5124,5428,5358,20,5341,5299,5429,5339,70,5264,5121,5427,5359,57,5120,5265,5118,5360,64,5225,5298,5123,5222,10,5426,6339,5300,5246,True,False,5042910444,6021116942,1622514933,2248,0,False
1,126,5234,5588,5613,5614,50,5290,5275,5140,5141,30,5289,5138,5277,5278,84,5107,5595,5654,5615,60,5586,5596,5598,6470,102,5585,5108,5109,5438,19,7705,5106,5276,7710,108,5597,5274,5587,7701,45,7304,5233,5186,5188,63,5440,5291,5292,5651,True,False,5042910519,6021117497,1622514983,2195,0,False
2,30,5099,5109,5174,5175,39,5328,5137,5365,5368,123,5224,5335,5101,5223,19,5144,5106,5107,5366,32,5369,5138,9501,5334,10,5145,5052,5108,5030,31,5176,5140,5173,7325,17,5225,5100,5222,5143,48,8158,8106,8429,5142,73,5136,7000,5141,5336,True,False,5042910617,6021121270,1622515293,1915,0,False
3,126,7705,5173,5174,5439,84,5440,5369,7301,6470,40,5179,5429,5355,5509,71,5353,5141,7701,5438,39,5192,5140,5165,5190,66,5368,5176,5365,7710,48,5225,5428,5222,5191,81,5193,5427,5510,5511,73,5426,5138,5181,5366,30,5512,5328,5178,5223,True,True,5042910678,6021112447,1622514572,2641,0,False
4,45,5046,7300,5342,5094,59,5272,5273,5274,5597,50,5345,5186,5045,5047,112,5233,5044,5180,5654,18,7304,5596,5652,5143,104,5145,5341,5598,5095,40,5179,5178,5019,5022,26,5651,5097,5346,5347,68,5187,5348,5339,5188,69,5144,5595,5340,5142,True,False,5042910699,6021106498,1622514071,3137,0,False
5,18,5400,5089,5094,5087,79,5152,5153,6339,5619,40,5063,5178,5429,5095,83,338,5181,5086,5150,11,5504,5425,5620,5428,78,5403,5505,5435,5321,34,5322,5426,5437,5151,109,5096,5402,5621,5622,81,5088,5097,5427,5320,94,5064,5506,5179,5062,True,False,5042910709,6021121267,1622515284,1921,0,False
6,72,5117,5340,5397,5358,69,7320,5339,5285,5342,77,5250,5595,5597,5598,86,5288,5450,5341,5287,90,5360,5473,5362,5011,62,5568,5482,5480,5286,70,631,5252,5357,5359,54,5481,5115,5361,5013,92,5474,5596,5116,5114,3,5249,5363,5014,5398,True,False,5042910762,6021119409,1622515138,2084,0,False
7,4,5042,5010,7309,5015,14,5721,5018,5075,5164,37,5162,5107,5165,5458,19,5591,5074,5076,5415,87,5723,5459,5460,5725,114,5008,5593,5017,5109,62,5461,5108,5285,5287,103,5009,5163,5077,5007,25,5041,5043,5716,5286,2,5288,5106,5016,5328,True,False,5042910786,6021113382,1622514647,2540,0,False
8,83,5145,5630,5550,5007,99,5144,5276,5435,5548,75,5440,5378,5195,5197,46,5438,5379,5275,5598,110,5018,5196,5597,5623,2,5009,338,5437,5142,104,5008,5010,5596,5277,84,5595,5143,5549,5551,66,5011,5012,5013,5439,60,5328,5194,5278,5014,False,False,5042910827,6021119212,1622515128,2103,0,False
9,87,5224,5177,5270,5223,18,6491,5459,5094,6470,121,8000,5072,5073,8007,38,5168,5225,5233,5222,17,5069,5098,5100,5101,58,7705,5099,5652,8006,50,5096,5723,5651,5654,114,5097,5716,5172,5095,13,7304,7701,5069,7710,48,5458,5725,5268,5269,True,False,5042911032,6021114319,1622514713,2461,0,False
